,name,session,sex,time,sampling,latency,cue,presented,choice,response,iti,velocity,time2peak,rt
0,EE11,PBS,0,356.746,0.0740000000000122,0.4399999999999977,4,0.0,0.0,1,15.241999999999962,109.0377933733901,0.16,0.5140000000000099
1,EE11,PBS,0,397.822,0.0380000000000109,0.4099999999999681,1,0.0,0.0,1,41.07600000000002,100.49012310900991,0.16,0.447999999999979
2,EE11,PBS,0,418.268,0.1780000000000541,0.2379999999999995,4,1.0,1.0,1,20.44599999999997,93.04236811864844,0.16,0.41600000000005355
3,EE11,PBS,0,435.614,0.0660000000000309,0.2160000000000081,1,0.0,1.0,0,17.346000000000004,95.09051951134332,0.12,0.282000000000039
4,EE11,PBS,0,561.116,0.1440000000000054,0.1639999999999872,1,0.0,0.0,1,7.333999999999946,115.91428026129158,0.16,0.3079999999999926
5,EE11,PBS,0,567.72,0.0799999999999272,0.2420000000000755,16,1.0,1.0,1,6.604000000000042,108.671639170519,0.16,0.3220000000000027
6,EE11,PBS,0,578.76,0.1639999999999872,0.3659999999999854,16,0.0,0.0,1,11.039999999999964,84.90133977240606,0.24,0.5299999999999726
7,EE11,PBS,0,584.846,0.1380000000000336,0.5119999999999436,1,0.0,0.0,1,6.086000000000013,43.46741740910507,0.12,0.6499999999999773
8,EE11,PBS,0,670.988,0.0559999999999263,0.4900000000000091,4,1.0,1.0,1,12.168000000000006,91.47574790667834,0.16,0.5459999999999354
9,EE11,PBS,0,694.884,0.2279999999999518,0.3380000000000791,1,0.0,0.0,1,23.89599999999996,33.15510955525609,0.16,0.5660000000000309
10,EE11,PBS,0,700.146,0.07000000000005,0.1459999999999581,16,0.0,1.0,0,5.261999999999944,140.28914396813093,0.08,0.2160000000000081
11,EE11,PBS,0,705.394,0.0779999999999745,0.2040000000000645,4,0.0,0.0,1,5.248000000000047,105.89742513496458,0.12,0.282000000000039
12,EE11,PBS,0,997.854,0.0699999999999363,0.2680000000000291,16,1.0,1.0,1,41.83800000000008,106.80195096719795,0.16,0.3379999999999654
13,EE11,PBS,0,1009.424,0.1100000000000136,0.3559999999999945,4,0.0,0.0,1,11.569999999999936,99.33878736004256,0.16,0.4660000000000081
14,EE11,PBS,0,1146.412,0.1620000000000345,0.2680000000000291,1,0.0,0.0,1,9.25,93.40765266180787,0.16,0.4300000000000636
15,EE11,PBS,0,1171.594,0.1099999999998999,0.3040000000000873,1,0.0,1.0,0,18.682000000000016,83.86872984345055,0.16,0.4139999999999872
16,EE11,PBS,0,1189.962,0.0940000000000509,0.3160000000000309,1,0.0,1.0,0,12.804000000000087,104.3864967962256,0.2,0.41000000000008185
17,EE11,PBS,0,1202.688,0.0619999999998981,0.8360000000000127,4,1.0,1.0,1,12.726000000000113,111.17701093028332,0.28,0.8979999999999109
18,EE11,PBS,0,1240.528,0.0519999999999072,0.2760000000000673,4,1.0,1.0,1,37.83999999999992,138.1136159503912,0.2,0.3279999999999745
19,EE11,PBS,0,1273.994,0.1080000000001746,0.7139999999999418,1,0.0,1.0,0,33.465999999999894,97.00082656169334,0.32,0.8220000000001164
20,EE11,PBS,0,1289.298,0.0760000000000218,0.4500000000000455,4,0.0,1.0,0,15.304000000000087,29.89528517877472,0.16,0.5260000000000673
21,EE11,PBS,0,1344.796,0.1579999999999017,0.1300000000001091,16,1.0,1.0,1,55.49800000000005,124.36246518992122,0.16,0.2880000000000108
22,EE11,PBS,0,1375.986,0.0859999999997853,0.2480000000000473,4,0.0,1.0,0,31.190000000000055,109.00819472268913,0.16,0.3339999999998326
23,EE11,PBS,0,1389.706,0.0660000000000309,0.2720000000001619,16,0.0,0.0,1,13.7199999999998,105.60000253129918,0.16,0.3380000000001928
24,EE11,PBS,0,1397.044,0.1299999999998817,0.1700000000000727,16,1.0,1.0,1,7.338000000000193,132.5993990659859,0.16,0.2999999999999544
25,EE11,PBS,0,1405.764,0.0600000000001728,0.1939999999999599,16,1.0,1.0,1,8.7199999999998,113.11663753768909,0.16,0.2540000000001327
26,EE11,PBS,0,1433.376,0.1259999999999763,0.3920000000000527,16,0.0,0.0,1,27.61200000000008,123.35861411642573,0.16,0.518000000000029
27,EE11,PBS,0,1441.632,0.1179999999999381,0.2139999999999418,4,1.0,1.0,1,8.256000000000085,107.44534820339472,0.2,0.3319999999998799
